

,时段,人员,“衣”,食,住,行,建筑类型
固定人口,永久(20年以上),原居民,?,?,?,?,现有
,长期(10~20年),?,?,?,?,?,拆除
,中期(5~10年),?,?,?,?,?,保护
,短期(1~5年),?,?,?,?,?,改建
流动人口,长住(几个月),?,?,?,?,?,扩建
,小住(几周),?,?,?,?,?,重建
,留宿(几天),?,?,?,?,?,新建
,过境(当日),?,?,?,?,?,发展
,,,,,,,



人员,,住,,,,衣,行,时段
,学生,小学,小学,小学,普通居住区/小区,玩耍,步行/自行车,6



描述,工作,不同时段身处何处,,,住处,爱好,出行工具,居住年份
,,上午,下午,晚上,,,,
,叉车司机,开车在各地,开车在各地,家里,普通小区,,汽车,16
,地头混混,街头,街头,家里,普通小区,打架闹事,步行/自行车,30
,幼儿园老师,幼儿园,幼儿园,家里,租的房子,,自行车,3
,无业,网吧,网吧,家里,普通小区,网游,步行/自行车,19
,,,,,,,,
描述,工作,不同时段身处何处,,,住处,爱好,出行工具,居住年份
,,上午,下午,晚上,,,,
工作于S工厂，每日固定按时送货运货，很晚回家,叉车司机,开车在各地,开车在各地,家里,普通小区,,汽车,16
"吃喝嫖赌，每日和兄弟晃荡在街头和工厂搜寻保护费
，美称杠精，渐渐成了丁栅的一道风景线",地头混混,街头,街头,家里,普通小区,打架闹事,步行/自行车,30
大学毕业分配到幼儿园当幼师，工作两点一线,幼儿园老师,幼儿园,幼儿园,家里,租的房子,,自行车,3
没考上大学就跟大几岁的人混迹于网吧,无业,网吧,网吧,家里,普通小区,网游,步行/自行车,19
蹲守在人才市场前的人，寻找日结零工,零工,街头,工作地,家里,普通小区,喝酒,步行/自行车,20
每日骑着车寻找街上垃圾，常年的工作使她渐渐忘了抬头，弯腰已经成了她的日常,扫地工人,街头,街头,街头,土房子,,三轮车,60
早出晚归，推着车出现在任何热闹的地方,水果小贩,街头,市场门口,街头,租的房子,夜宵,手推车,20
上海大公司搬迁于此，小老板为了方便在丁栅买了套小房子,小老板,公司,饭店,会所,高档商品房,品酒,奔驰越野,1
流浪汉躺在菜场门口街上要饭，为了要到钱，他把一只手和一只脚塞进了衣物里,流浪汉,菜场门口,菜场后面,社区座椅,室外,买彩票,步行/自行车,10
公司下派来此送快递，早出晚归，单身,快递员,街道,街道,中转站,租的房子,,电动三轮车,6
肌肉猛男，性别男爱好男，喜欢穿吊带背心秀肌肉,健身教练,家里,健身房,健身房,普通小区,增肌,电动车,3
爱干净，车比较老但是很温馨；因为常年开车所以泌尿系统不好,出租车司机,街道,街道,街道,普通小区,吹牛,出租车,10
十分喜爱钓鱼的老哥，视🐟如命，厌倦了城市的剥削生活，攒了许多钱，回归乡下专注自己的爱好,钓鱼哥,家里,鱼塘,渔船,,钓鱼,越野车,0.5
四海为家，哪里有花季就去哪里；夫妻两个人赚的不多但是开心,养蜂人,蜂巢边,蜂巢边,帐篷里,帐篷,手机浏览网页,小货车,0.3
,,,,,,,,
,,蜂巢边,,,,,,



描述,工作,不同时段身处何处,,,住处,爱好,出行工具,居住年份
,,上午,下午,晚上,,,,
,村支书,村支办,村支办,家,普通居住区/小区,,自行车/电瓶车/汽车,20
,退休农民,农田,农田/住宅区,家 ,普通居住区/小区,,自行车/电瓶车/汽车,80
,包工头,工地,工地,家/排挡,普通居住区/小区,,自行车/电瓶车/汽车,30
,,,,,,,,
,幼儿园清洁工,幼儿园,幼儿园/菜场,家,村中老宅,看电视,步行/自行车,55
,学校图书管理员,学校,学校/河边,家/饭店,普通居住区/小区,钓鱼,电瓶车/步行,45
,中心学校校长,学校/嘉兴/上海,学校/嘉兴/上海,上海/丁栅酒店,上海/丁栅酒店,大保健等娱乐活动,奔驰,10
,初中生小甘,学校,学校,家,普通小区/奶奶的老宅,偷玩电脑,父母电瓶车接送/跑步,14
,小学生小施,学校,学校,家/公园,普通小区,运动/和伙伴交流,走路/父母开车接送,10
,科学老师小傅,学校,学校,学校/家,在小区租房,捉鳖/教书育人,开车,3
,社区文艺表演员,拉面店/跳舞场地,拉面店/跳舞场地,家,普通小区/老宅,跳舞/和闺蜜聊天,电瓶车接孩子上学/小面包车,40
,学校食堂送货员,农户/菜场/学校,学校/KTV,家,在小区租房,音乐,电动三轮车,10
,英语老师,学校,学校,家,普通小区,吃菱角/畅想未来,电瓶车,10
,幼儿园小汤,幼儿园,幼儿园,家,普通小区,和小伙伴玩,父母接送,4.5
,学校厨师长,学校,学校篮球场,家,老宅,看舌尖上的中国,电瓶车,50
,学校保洁阿姨,学校,学校食堂,家,老宅,打麻将,电瓶车,47
,退休老人老罗,家/老年服务中心,家/老年服务中心,家,老宅,麻将,走路,70
,老年服务中心主管,老年服务中心,学校篮球场/家,家,普通小区,打篮球,电瓶车/步行,35
,,,,,,,,
,2035,,,,,,,
,小学教务处主任,学校,学校,家,短期居住区/上海,,城间快车,
,教学机器人小胖,家,家,家,小甘家,充电,轮子,



描述,工作,不同时段身处何处,,,住处,爱好,出行工具,居住年份
,,上午,下午,晚上,,,,
年迈的本地工厂保安,工厂保安,拆迁还建房/工厂传达室,工作传达室,工厂传达室/步行街的大排档/拆迁还建房,拆迁还建房,听评书/抽烟,厂区班车接送/电瓶车,57
外来的年轻保安,工厂保安,共享出租屋/工厂传达室,工厂传达室,工厂传达室/娱乐场所嫖娼/共享出租屋,共享出租屋,嫖娼/抽烟,厂区班车接送/电瓶车,8
手法娴熟的流水线人员,流水线工人,厂区宿舍/工厂流水线,35,流水线工作/镇里小超市/宿舍,厂区宿舍,玩无线电,步行,35
富贵大肚秃头,厂长,外市谈生意/小三家的床上,厂区/家里陪孩子,豪华饭店喝酒吃饭/夜店蹦迪,水边别墅,吃喝嫖赌,奔驰S600,40
老实巴交/一丝不苟,安全员,镇上的商品房/工厂办公室,工厂流水线视察,办公室处理资料/回家和家人吃完饭,镇里商品房,研究厨艺,普通代步车,35
贪小便宜,修理工,共享出租屋/工厂流水线,工厂办公室,工厂办公室/废品回收站卖工厂偷的零件,共享出租屋,刷抖音,电瓶车,28
严谨,工程师,镇上豪宅/工厂办公室,工厂办公室,工厂办公室/网球场,镇上豪宅,网球,奥迪A6,8
大肚,工厂厨师,工厂宿舍/厨房,厨房/工厂宿舍,绕着水库夜跑,工厂宿舍,打牌,普通代步车,15
中年,保洁,河边的旧民宅/工厂各个办公室,工厂各个办公室,小学接孩子/家里,河边的旧民宅,织毛衣,电瓶车,35
中年纹身男,货车司机,工厂仓库,路上,路上/高速服务区,共享出租屋,吃夜宵,大货车/普通代步车,0.5
秃头宅男,网站维护人员,办公室,办公室,家里看动漫,镇里商品房,撸管子,公交车,5
眼镜男,产品数据分析师,办公室,办公室,办公室/家里,镇上豪宅,玩电子货币,保时捷718,3
纹身金链男,工厂打手,混混聚集的出租房,收保护费/教训商业竞争伙伴,大排档扯逼蛋/嫖娼/吸毒,废弃的工厂车间,玩快手,摩托车,6
大奶少女,工厂妓女,床上,床上,床上,老板们送的豪宅,买包/炫富,奥迪TT,8
凶,工厂臭狗,门卫,厂里闲逛,厂里闲逛,门卫,吃骨头,蹄子,8
朴实能干,种地农民,大棚,大棚,家里/公园,农田自建房,唱戏,电动三轮车,65



,时段,人员,“衣”,食,住,行,建筑类型,,,,,
固定人口,永久(20年以上),原居民,职业,场所,场所,出行方式,现有,,,,,
,长期(10~20年),?,爱好,食物,需求量,距离,拆除,,,,,
,中期(5~10年),?,性格,?,?,时段,保护,,,,,
,短期(1~5年),?,学历,?,?,是否结伴,改建,,,,,
流动人口,长住(几个月),?,收入,?,?,?,扩建,,,,,
,小住(几周),?,信仰,?,?,?,重建,,,,,
,留宿(几天),?,健康,?,?,?,新建,,,,,
,过境(当日),?,宠物,?,?,?,发展,,,,,
,,,婚姻,,,,,,,,,
,,,角色,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,



职业,爱好,性格,学历,收入,信仰,健康,宠物,婚姻,角色,,,,,,,,,,记忆:
村支书,看电视剧,基佬,小学,5000以下,佛教,植物人,,未婚,父亲,,,,,,,,,,死亡，葬礼，初吻，初恋，学会走路，学会如厕，学会说话
退休农民,芭比娃娃,羞涩,初中,5000-10000,道教,健康,,准婚,母亲,,,,,,,,,,
包工头,打游戏,开放,高中,10000-20000,基督,亚健康,,已婚,儿子,,,,,,,,,,
包租婆,看书,霸道,大学,20000-30000,,生病,,离异,员工,,,,,,,,,,
大学生,瑜伽,内向,研究生,30000-40000,,,,,厂长,,,,,,,,,,
画家,慢跑,务实,博士,40000以上,,,,,小三,,,,,,,,,,
工厂流水线,看连续剧,大方,辍学,,,,,,女儿,,,,,,,,,,
工厂管理,慢跑,,文盲,,,,,,孙子,,,,,,,,,,
工厂运营,打篮球,,,,,,,,孙女,,,,,,,,,,
城管,画画,,,,,,,,爷爷,,,,,,,,,,
医生,摄影,,,,,,,,,,,,,,,,,,
匠人,看电影,,,,,,,,,,,,,,,,,,
护士,喝酒,,,,,,,,,,,,,,,,,,
黄包车夫,种田,,,,,,,,,,,,,,,,,,
粉刷工人,踏青/采风,,,,,,,,,,,,,,,,,,
退休家庭主妇,Vr游戏,,,,,,,,,,,,,,,,,,
小店老板/老板娘,踏青/采风,,,,,,,,,,,,,,,,,,
服装店老板,采风,,,,,,,,,,,,,,,,,,
无,动画片,,,,,,,,,,,,,,,,,,
船工(河道治理),健身,,,,,,,,,,,,,,,,,,
沙县小吃老板,葛优瘫,,,,,,,,,,,,,,,,,,
小学生,虚荣/引起关注,,,,,,,,,,,,,,,,,,
程序员/互联网公司股东,毛茸茸,,,,,,,,,,,,,,,,,,
植物学家,写代码,,,,,,,,,,,,,,,,,,
水产养殖户(鳖),时尚,,,,,,,,,,,,,,,,,,
作家,网游,,,,,,,,,,,,,,,,,,
生物研究院研究员,维护正义,,,,,,,,,,,,,,,,,,
机械维修员(机器人维修),挂点滴,,,,,,,,,,,,,,,,,,
前端程序员,猫狗/七星瓢虫,,,,,,,,,,,,,,,,,,
算法工程师,度假/论文,,,,,,,,,,,,,,,,,,
水质监测员,泡咖啡,,,,,,,,,,,,,,,,,,
编剧,遛狗,,,,,,,,,,,,,,,,,,
导演,聊天,,,,,,,,,,,,,,,,,,
厨师,喝酒,,,,,,,,,,,,,,,,,,
农民,旅游,,,,,,,,,,,,,,,,,,
村支书,传教,,,,,,,,,,,,,,,,,,
退休农民,创作音乐,,,,,,,,,,,,,,,,,,
电力检修工,钓鱼,,,,,,,,,,,,,,,,,,
义工,钻研信息技术,,,,,,,,,,,,,,,,,,
消防局管理控制人员,分享自己的女红技术,,,,,,,,,,,,,,,,,,
植发师,划船,,,,,,,,,,,,,,,,,,
作家,麻将,,,,,,,,,,,,,,,,,,
作曲家,创作音乐,,,,,,,,,,,,,,,,,,
健身教练,台球,,,,,,,,,,,,,,,,,,
派出所民警,编程,,,,,,,,,,,,,,,,,,
宠物博主,管理手下,,,,,,,,,,,,,,,,,,
兽医,搞科研,,,,,,,,,,,,,,,,,,
乐队键盘手,游手好闲,,,,,,,,,,,,,,,,,,
服装店店主,养花,,,,,,,,,,,,,,,,,,
外来打工者,玩耍,,,,,,,,,,,,,,,,,,
律师,打架闹事,,,,,,,,,,,,,,,,,,
植物人,网游,,,,,,,,,,,,,,,,,,
推拿师傅,看电视,,,,,,,,,,,,,,,,,,
实习生,钓鱼,,,,,,,,,,,,,,,,,,
教授,大保健等娱乐活动,,,,,,,,,,,,,,,,,,
咖啡厅老板,偷玩电脑,,,,,,,,,,,,,,,,,,
导游,运动/和伙伴交流,,,,,,,,,,,,,,,,,,
渔民,捉鳖/教书育人,,,,,,,,,,,,,,,,,,
农场主,跳舞/和闺蜜聊天,,,,,,,,,,,,,,,,,,
摄影师,音乐,,,,,,,,,,,,,,,,,,
来调研的大学生,吃菱角/畅想未来,,,,,,,,,,,,,,,,,,
镇上的领导,和小伙伴玩,,,,,,,,,,,,,,,,,,
高级工程师,看舌尖上的中国,,,,,,,,,,,,,,,,,,
牧师,打麻将,,,,,,,,,,,,,,,,,,
农田主,麻将,,,,,,,,,,,,,,,,,,
黑客,打篮球,,,,,,,,,,,,,,,,,,
生活主播,拍照,,,,,,,,,,,,,,,,,,
片警,抗日神剧,,,,,,,,,,,,,,,,,,
退休,充电,,,,,,,,,,,,,,,,,,
设计师,听评书,,,,,,,,,,,,,,,,,,
政府官员,嫖娼/抽烟,,,,,,,,,,,,,,,,,,
程序员,玩无线电,,,,,,,,,,,,,,,,,,
上市公司老板,吃喝嫖赌,,,,,,,,,,,,,,,,,,
植物厂的研究人员,研究厨艺,,,,,,,,,,,,,,,,,,
船工学徒,刷抖音,,,,,,,,,,,,,,,,,,
船娘,网球,,,,,,,,,,,,,,,,,,
渔民,打牌,,,,,,,,,,,,,,,,,,
叉车司机,织毛衣,,,,,,,,,,,,,,,,,,
地头混混,吃夜宵,,,,,,,,,,,,,,,,,,
幼儿园老师,撸管子,,,,,,,,,,,,,,,,,,
无业,玩电子货币,,,,,,,,,,,,,,,,,,
幼儿园清洁工,玩快手,,,,,,,,,,,,,,,,,,
学校图书管理员,买包/炫富,,,,,,,,,,,,,,,,,,
中心学校校长,吃骨头,,,,,,,,,,,,,,,,,,
科学老师,唱戏,,,,,,,,,,,,,,,,,,
社区文艺表演员,骑车,,,,,,,,,,,,,,,,,,
学校食堂送货员,做菜,,,,,,,,,,,,,,,,,,
英语老师,买彩票,,,,,,,,,,,,,,,,,,
幼儿园小汤,增肌,,,,,,,,,,,,,,,,,,
学校厨师长,吹牛,,,,,,,,,,,,,,,,,,
学校保洁阿姨,,,,,,,,,,,,,,,,,,,
退休老人老罗,,,,,,,,,,,,,,,,,,,
老年服务中心主管,,,,,,,,,,,,,,,,,,,
小学教务处主任,,,,,,,,,,,,,,,,,,,
教学机器人小胖,,,,,,,,,,,,,,,,,,,
流水线工人,,,,,,,,,,,,,,,,,,,
安全员,,,,,,,,,,,,,,,,,,,
修理工,,,,,,,,,,,,,,,,,,,
工程师,,,,,,,,,,,,,,,,,,,
工厂厨师,,,,,,,,,,,,,,,,,,,
保洁,,,,,,,,,,,,,,,,,,,
货车司机,,,,,,,,,,,,,,,,,,,
网站维护人员,,,,,,,,,,,,,,,,,,,
产品数据分析师,,,,,,,,,,,,,,,,,,,
工厂打手,,,,,,,,,,,,,,,,,,,
工厂妓女,,,,,,,,,,,,,,,,,,,
工厂臭狗,,,,,,,,,,,,,,,,,,,
种地农民,,,,,,,,,,,,,,,,,,,
探险者,,,,,,,,,,,,,,,,,,,
生物采集,,,,,,,,,,,,,,,,,,,
自然录音师,,,,,,,,,,,,,,,,,,,
工业生态学,,,,,,,,,,,,,,,,,,,
数据采集师,,,,,,,,,,,,,,,,,,,
零工,,,,,,,,,,,,,,,,,,,
扫地工人,,,,,,,,,,,,,,,,,,,
水果小贩,,,,,,,,,,,,,,,,,,,
小老板,,,,,,,,,,,,,,,,,,,
流浪汉,,,,,,,,,,,,,,,,,,,
快递员,,,,,,,,,,,,,,,,,,,
健身教练,,,,,,,,,,,,,,,,,,,
出租车司机,,,,,,,,,,,,,,,,,,,
钓鱼哥,,,,,,,,,,,,,,,,,,,
养蜂人,,,,,,,,,,,,,,,,,,,



场所,食物,,,
沙县小吃,番茄,,,
自家做饭,甲鱼,,,
大排档,合成食物,,,
豪华酒店,菱角,,,
厂里菜,水稻,,,
外卖,,,,
小炒店,,,,
,,,,
,,,,



场所,需求量,,,
租房,1,,,
商品房,2,,,
别墅,3,,,
共享出租屋,4,,,
